S.No,Component,Specification,Quantity,Approx Cost (INR),Supplier,Purchase Link
1,Arduino Uno R3,ATmega328P Compatible,1,550,Preferred Supplier,
2,HC-SR04 Ultrasonic Sensor,Distance Sensor,1,100,Preferred Supplier,
3,SG90 Servo Motor,180 Degree Micro Servo,3,540,Preferred Supplier,
4,OLED Display,0.96 inch I2C 128x64,1,250,Preferred Supplier,
5,Active Buzzer,5V,1,40,Preferred Supplier,
6,Green LED,5mm,1,10,Preferred Supplier,
7,Yellow LED,5mm,1,10,Preferred Supplier,
8,Red LED,5mm,1,10,Preferred Supplier,
9,220 Ohm Resistor,Carbon Film,3,15,Preferred Supplier,
10,Breadboard,400 Tie Points,1,120,Preferred Supplier,
11,Jumper Wires,Male to Male Set,30,150,Preferred Supplier,
12,Robot Chassis,Acrylic or Plastic Base,1,400,Preferred Supplier,
13,Waste Bins,Mini Plastic Containers,3,300,Preferred Supplier,
14,USB Cable,USB Type-A to Type-B,1,120,Preferred Supplier,
15,5V Power Supply,Adapter or Power Bank,1,250,Preferred Supplier,
16,Mounting Hardware,Screws Nuts and Spacers,1 Set,100,Preferred Supplier,
